headline,summery,date
$10 Million Pay-Cut For Goldman Sachs CEO,"Goldman Sachs cut its CEO David Solomon's 2020 salary by $10 million to $17.5 million because of the bank's role in the 1MDB Malaysian bribery scandal, according to documents filed Tuesday."," Wednesday January 27, 2021, San Francisco, United States"
"Delhi's Minimum Temperature Rises, Likely To Dip Again In Next 2 Days: Weather Office","Delhi's minimum temperature rose to 5.4 degrees Celsius on Wednesday, though it was still three notches below normal, the India Meteorological Department said."," Wednesday January 27, 2021, New Delhi"
"""We Broke Barricades When Cops Stopped Us"": Farmer Leader On Delhi Chaos","A day after a farmers' tractor rally on Republic Day that dissolved into chaos and violence after protesters forced their way into Delhi, the farmer leader who knocked down the first barricade has denied any role in the Red Fort breach. Satnam Singh Pannu blamed the ruling BJP of organizing the Red Fort violence to tarnish the farmer protests."," Wednesday January 27, 2021, New Delhi"
The Shy Finance Chief Behind Tesla's Remarkable Turnaround,"Tesla Inc. is widely expected to report its sixth consecutive quarterly profit Wednesday -- and potentially its first $1-billion quarter. That follows a remarkable year when Tesla's stock split and skyrocketed, the company joined the S&P 500 Index and it sold almost half a million cars."," Wednesday January 27, 2021"
"India Records 12,689 Covid Cases In A Day, Total Count Over 1.06 Crore","India's COVID-19 tally mounted to 1,06,89,527 with 12,689 new cases in a day, while 1,03,59,305 people have recuperated from the infection so far pushing the national recovery rate to 96.91 per cent on Wednesday, according to the Union Health Ministry's data."," Wednesday January 27, 2021, New Delhi"
Indian-Origin US Lawmakers Named To Key Congressional Committees,Indian-origin US lawmakers Pramila Jayapal and Raja Krishnamoorthi have been named to key congressional committees on budget and the COVID-19 pandemic by House Speaker Nancy Pelosi.," Wednesday January 27, 2021, Washington"
"Facing Scary Covid Strain, UK Running High-Stakes, Real-World Vaccine Experiment","It is putting vaccines to the test amid one of the world's worst coronavirus outbreaks, propelled by a variant of the virus that is more contagious and possibly more deadly than the original."," Wednesday January 27, 2021"
Meet The People Paying $55 Million Each To Fly To The Space Station,"Two are grandfathers, the other has three young children. All three are extremely wealthy, with the means to pay the $55 million ticket price for an eight-day stay on the International Space Station."," Wednesday January 27, 2021"
"India Has Plenty Of Covid Shots, Not Enough Willing To Take Them","Most of the world is struggling to secure enough vaccines to inoculate their populations. India has the opposite problem: Plenty of shots, but a shortage of people willing to take them."," Wednesday January 27, 2021"
Biden Administration Aims To Have Enough Vaccine For Most Americans By Summertime,"The United States aims to acquire an additional 200 million doses of COVID-19 vaccines, President Joe Biden said on Tuesday, enough to inoculate most Americans by summertime, as he races to curb a pandemic he warned could still get worse."," Wednesday January 27, 2021"
"Day After Clashes, Farmer Leaders To Address Protesters Today: 10 Points","Farmer leaders from Punjab will address protesting farmers at one of the key Delhi-Haryana borders this morning, a day after the capital witnessed unprecedented violence as a Republic Day tractor rally by farmers in protest of the centre's agricultural laws went off the scheduled course and rolled into the iconic Mughal-era Red Fort. One farmer died on the way to Red Fort, with the police saying it was an accident. Over 300 police personnel were injured in Tuesday's violence and 22 cases have been registered, Delhi Police said. Sources said several farmer leaders are among those who have been named in the cases, adding that they are in the process of identifying those behind the violence. A case of conspiracy too has been filed, police sources said. On February 1, the farmers are planning a march to parliament."," Wednesday January 27, 2021, New Delhi"
Rampant Extortion Persistent In Nagaland: Governor RN Ravi,"Nagaland Governor RN Ravi, in his Republic day speech, once again attacked the armed rebel groups and a section of the government, accusing them of being in a nexus that was the cause of state's underdevelopment."," Wednesday January 27, 2021, Guwahati"
"Elon Musk and Jeff Bezos, World's Richest, Shade Each Other Over...",The world's two richest men are duking it out before U.S. regulators over celestial real estate for their satellite fleets.," Wednesday January 27, 2021"
,,
Jeff Bezos Wants $1.7 Million In Legal Fees From Girlfriend's Brother,Jeff Bezos wants $1.7 million from his girlfriend's brother to cover legal fees the world's second-richest person racked up successfully defending a defamation lawsuit.," Wednesday January 27, 2021"
